Gap,AM,CBD,porous,x,y,z,res,tliq,tsol,CC/AM,CC/CBD,Active_Surface
21.0,93.0,7.0,50.0,50.0,50.0,80.4,1.0,24.57,1.7550000000000001,36.79,23.46,43.15
21.0,94.0,6.0,45.0,50.0,50.0,89.1,1.0,9.148000000000001,1.943,35.47,19.26,51.60000000000001
21.0,94.0,6.0,46.0,50.0,50.0,87.6,1.0,10.599,1.8960000000000001,35.2,19.86,49.699999999999996
21.0,94.0,6.0,47.0,50.0,50.0,86.0,1.0,12.749999999999998,1.8519999999999999,37.46,19.779999999999998,47.89999999999999
21.0,94.0,6.0,48.0,50.0,50.0,84.4,1.0,12.88,1.8290000000000002,36.72,20.29,47.39999999999999
21.0,94.0,6.0,49.0,50.0,50.0,82.8,1.0,15.98,1.791,36.470000000000006,21.04,45.540000000000006
21.0,94.0,6.0,50.0,50.0,50.0,81.3,1.0,16.6,1.777,38.26,20.45,45.10000000000001
21.0,95.0,5.0,45.0,50.0,50.0,90.0,1.0,8.243,1.936,36.59,17.03,52.39999999999999
21.0,95.0,5.0,46.0,50.0,50.0,88.4,1.0,8.443999999999999,1.9149999999999998,37.269999999999996,17.229999999999997,51.86999999999999
21.0,95.0,5.0,47.0,50.0,50.0,86.8,1.0,9.763,1.8770000000000002,37.11,17.74,49.89999999999999
21.0,95.0,5.0,48.0,50.0,50.0,85.3,1.0,10.184000000000001,1.8619999999999997,38.540000000000006,16.94,49.39999999999999
21.0,95.0,5.0,49.0,50.0,50.0,83.7,1.0,12.059999999999999,1.8160000000000003,37.470000000000006,18.2,47.580000000000005
21.0,95.0,5.0,50.0,50.0,50.0,82.1,1.0,12.819999999999999,1.8050000000000002,38.82,17.82,47.10000000000001
21.0,96.0,4.0,45.0,50.0,50.0,90.8,1.0,6.809,1.967,38.620000000000005,13.41,54.60000000000001
21.0,96.0,4.0,46.0,50.0,50.0,89.2,1.0,6.969000000000001,1.9459999999999997,38.72,14.089999999999998,54.0
21.0,96.0,4.0,47.0,50.0,50.0,87.7,1.0,7.902000000000001,1.904,40.550000000000004,14.0,52.10000000000001
21.0,96.0,4.0,48.0,50.0,50.0,86.1,1.0,8.183000000000002,1.8869999999999998,38.529999999999994,14.3,51.56
21.0,96.0,4.0,49.0,50.0,50.0,84.5,1.0,9.351999999999999,1.841,41.879999999999995,14.01,49.60000000000001
21.0,96.0,4.0,50.0,50.0,50.0,82.9,1.0,11.52,1.8,40.089999999999996,14.73,47.699999999999996
31.0,93.0,7.0,45.0,50.0,50.0,88.8,1.0,10.921,1.924,32.8,22.04,50.0
31.0,93.0,7.0,46.0,50.0,50.0,87.3,1.0,11.439999999999998,1.9049999999999998,33.46999999999999,22.300000000000004,49.5
31.0,93.0,7.0,47.0,50.0,50.0,85.8,1.0,13.26,1.861,33.86,23.080000000000002,47.699999999999996
31.0,93.0,7.0,48.0,50.0,50.0,84.3,1.0,14.129999999999999,1.8520000000000003,34.2,22.46,47.300000000000004
31.0,93.0,7.0,49.0,50.0,50.0,82.8,1.0,17.779999999999998,1.8040000000000003,33.3,23.310000000000002,45.5
31.0,93.0,7.0,50.0,50.0,50.0,81.3,1.0,18.950000000000003,1.799,35.63000000000001,23.21,45.10000000000001
31.0,94.0,6.0,45.0,50.0,50.0,89.6,1.0,8.605999999999998,1.953,36.12,18.94,52.10000000000001
31.0,94.0,6.0,46.0,50.0,50.0,88.1,1.0,9.218,1.939,35.550000000000004,19.32,51.60000000000001
31.0,94.0,6.0,47.0,50.0,50.0,86.6,1.0,10.616000000000001,1.8990000000000002,35.120000000000005,19.78,49.800000000000004
31.0,94.0,6.0,48.0,50.0,50.0,85.1,1.0,10.98,1.879,35.69,19.91,49.300000000000004
31.0,94.0,6.0,49.0,50.0,50.0,83.6,1.0,12.99,1.8359999999999999,36.519999999999996,20.280000000000005,47.5
31.0,94.0,6.0,50.0,50.0,50.0,82.1,1.0,13.14,1.825,39.53,19.490000000000002,47.10000000000001
31.0,95.0,5.0,45.0,50.0,50.0,90.4,1.0,7.342999999999999,1.984,34.57,17.160000000000004,54.28000000000001
31.0,95.0,5.0,46.0,50.0,50.0,88.9,1.0,8.067,1.934,34.25,17.690000000000005,52.39999999999999
31.0,95.0,5.0,47.0,50.0,50.0,87.4,1.0,8.501000000000001,1.922,36.18,17.5,51.89999999999999
31.0,95.0,5.0,48.0,50.0,50.0,85.9,1.0,9.677000000000001,1.8720000000000003,36.089999999999996,17.569999999999997,50.0
31.0,95.0,5.0,49.0,50.0,50.0,84.4,1.0,9.966000000000003,1.863,38.29,16.96,49.60000000000001
31.0,95.0,5.0,50.0,50.0,50.0,82.9,1.0,11.7,1.8219999999999998,38.82000000000001,17.589999999999996,47.75
31.0,96.0,4.0,45.0,50.0,50.0,91.3,1.0,6.0809999999999995,2.017,37.98,13.66,56.5
31.0,96.0,4.0,46.0,50.0,50.0,89.8,1.0,6.612,1.9599999999999997,39.5,13.179999999999998,54.56000000000002
31.0,96.0,4.0,47.0,50.0,50.0,88.3,1.0,6.772,1.9440000000000002,39.839999999999996,13.719999999999999,54.10000000000001
31.0,96.0,4.0,48.0,50.0,50.0,86.8,1.0,7.725999999999999,1.8979999999999997,37.790000000000006,14.88,52.160000000000004
31.0,96.0,4.0,49.0,50.0,50.0,85.3,1.0,7.978,1.893,38.81,14.55,51.7
31.0,96.0,4.0,50.0,50.0,50.0,83.8,1.0,9.169,1.8419999999999999,40.46999999999999,14.140000000000004,49.800000000000004
41.0,93.0,7.0,45.0,50.0,50.0,89.4,1.0,9.385,1.9680000000000004,33.06,20.98,51.84999999999999
41.0,93.0,7.0,46.0,50.0,50.0,87.9,1.0,10.68,1.9150000000000003,32.870000000000005,22.09,50.150000000000006
41.0,93.0,7.0,47.0,50.0,50.0,86.5,1.0,11.11,1.9080000000000001,33.410000000000004,21.860000000000003,49.699999999999996
41.0,93.0,7.0,48.0,50.0,50.0,85.1,1.0,11.34,1.893,36.01,21.520000000000003,49.300000000000004
41.0,93.0,7.0,49.0,50.0,50.0,83.6,1.0,13.85,1.858,34.83,21.839999999999996,47.60000000000001
41.0,93.0,7.0,50.0,50.0,50.0,82.2,1.0,14.02,1.8470000000000002,32.67999999999999,22.66,47.199999999999996
41.0,94.0,6.0,45.0,50.0,50.0,90.2,1.0,7.656999999999999,2.0029999999999997,35.31000000000001,18.44,54.0
41.0,94.0,6.0,46.0,50.0,50.0,88.8,1.0,8.834999999999999,1.9610000000000003,33.290000000000006,19.910000000000004,52.28000000000001
41.0,94.0,6.0,47.0,50.0,50.0,87.3,1.0,8.894,1.9459999999999997,35.44,19.36,51.8
